Date,Open,High,Low,Close,Adj Close,Volume
2017-01-19,68.129997,68.190002,67.480003,67.620003,63.109619,6821100
2017-01-20,67.739998,67.830002,67.019997,67.180000,62.698971,12054700
2017-01-23,67.010002,67.180000,66.559998,66.650002,62.204311,7951400
2017-01-24,66.889999,67.410004,66.660004,67.400002,62.904293,10710600
2017-01-25,67.519997,67.730003,66.790001,66.889999,62.428322,8722900
2017-01-26,67.129997,67.220001,66.620003,66.730003,62.278992,6504100
2017-01-27,66.860001,66.970001,65.279999,65.660004,61.280365,13433600
2017-01-30,65.629997,66.480003,65.629997,66.419998,61.989670,8641500
2017-01-31,66.209999,66.889999,65.879997,66.739998,62.288307,9320900
2017-02-01,66.459999,66.709999,66.040001,66.230003,61.812344,9050000
2017-02-02,66.339996,67.139999,66.339996,66.699997,62.250973,8998700
2017-02-03,66.820000,66.930000,66.440002,66.500000,62.064323,7625300
2017-02-06,66.370003,66.860001,66.370003,66.400002,61.971004,9097200
2017-02-07,66.559998,67.000000,66.510002,66.889999,62.428322,5805700
2017-02-08,66.889999,67.820000,66.889999,67.809998,63.286942,7660800
2017-02-09,67.809998,69.139999,67.750000,69.080002,64.472244,11080500
2017-02-10,68.250000,68.599998,67.760002,68.019997,63.482944,12445600
2017-02-13,68.320000,68.650002,67.559998,67.769997,63.249611,8374300
2017-02-14,67.879997,68.680000,67.709999,68.660004,64.080254,8462300
2017-02-15,67.800003,68.709999,67.760002,68.690002,64.108238,8563300
2017-02-16,68.669998,69.239998,68.610001,68.870003,64.276260,8413800
2017-02-17,68.830002,69.790001,68.690002,69.370003,64.742897,12837400
2017-02-21,71.209999,72.279999,70.699997,71.449997,66.684143,22412900
2017-02-22,72.250000,72.370003,71.480003,71.709999,66.926819,15242700
2017-02-23,72.000000,72.500000,71.160004,71.309998,66.553490,12799700
2017-02-24,71.339996,72.800003,71.300003,72.389999,67.561447,13889900
2017-02-27,72.279999,72.419998,71.529999,71.739998,66.954811,9254700
2017-02-28,70.870003,71.000000,70.000000,70.930000,66.198830,15952600
2017-03-01,70.970001,71.080002,70.150002,70.449997,65.750854,13522700
2017-03-02,70.419998,70.900002,70.169998,70.760002,66.040184,8916300
2017-03-03,70.760002,71.019997,69.879997,70.029999,65.358864,9297900
2017-03-06,70.000000,70.440002,69.779999,69.879997,65.218872,9182600
2017-03-07,69.900002,70.209999,69.860001,69.870003,65.209549,7282900
2017-03-08,69.690002,70.029999,69.540001,69.800003,65.623207,7979800
2017-03-09,69.750000,70.040001,69.559998,69.860001,65.679634,7564500
2017-03-10,70.000000,70.360001,69.800003,70.099998,65.905251,7098800
2017-03-13,69.989998,70.449997,69.709999,69.949997,65.764252,6802500
2017-03-14,70.820000,71.209999,70.720001,70.720001,66.488159,9958400
2017-03-15,70.500000,70.699997,70.019997,70.580002,66.356537,8813800
2017-03-16,70.110001,70.699997,70.070000,70.440002,66.224915,7061000
2017-03-17,70.580002,70.750000,69.809998,69.889999,65.707825,14078400
2017-03-20,70.139999,70.449997,69.709999,69.980003,65.792442,7466200
2017-03-21,70.169998,70.400002,69.690002,69.900002,65.717224,8746800
2017-03-22,70.029999,70.339996,69.720001,70.250000,66.046295,6455600
2017-03-23,70.199997,70.309998,69.750000,69.860001,65.679634,6898800
2017-03-24,69.989998,70.169998,69.529999,69.610001,65.444572,5859000
2017-03-27,69.519997,70.070000,69.360001,69.660004,65.491600,5792600
2017-03-28,69.330002,70.370003,69.330002,70.320000,66.112091,7252200
2017-03-29,70.349998,71.180000,70.309998,70.739998,66.506958,6991000
